Unnamed: 0,Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Team1_runs,Team2_runs,Total_runs
29,ODI # 33,Australia,West Indies,Winner1stInning,Lord's,"Jun 21, 1975",West Indies,England,Neutral,Neutral,Second,First,181,274,455
30,ODI # 34,Australia,West Indies,Winner2ndInning,Adelaide,"Dec 20, 1975",Australia,Australia,Home,Away,Second,First,223,244,467
31,ODI # 35,New Zealand,India,Winner2ndInning,Christchurch,"Feb 21, 1976",New Zealand,New Zealand,Home,Away,Second,First,264,250,514
32,ODI # 36,New Zealand,India,Winner1stInning,Auckland,"Feb 22, 1976",New Zealand,New Zealand,Home,Away,First,Second,283,201,484
33,ODI # 37,England,West Indies,Winner2ndInning,Scarborough,"Aug 26, 1976",West Indies,England,Home,Away,First,Second,182,219,401
34,ODI # 38,England,West Indies,Winner1stInning,Lord's,"Aug 28-29, 1976",West Indies,England,Home,Away,Second,First,277,168,445
35,ODI # 39,England,West Indies,Winner1stInning,Birmingham,"Aug 30-31, 1976",West Indies,England,Home,Away,Second,First,159,274,433
36,ODI # 40,Pakistan,New Zealand,Winner1stInning,Sialkot,"Oct 16, 1976",New Zealand,Pakistan,Home,Away,Second,First,236,229,465
37,ODI # 41,West Indies,Pakistan,Winner2ndInning,Albion,"Mar 16, 1977",West Indies,West Indies,Home,Away,Second,First,189,176,365
38,ODI # 42,England,Australia,Winner2ndInning,Manchester,"Jun 2, 1977",England,England,Home,Away,Second,First,253,259,512
39,ODI # 43,England,Australia,Winner1stInning,Birmingham,"Jun 4, 1977",England,England,Home,Away,First,Second,247,157,404
40,ODI # 44,England,Australia,Winner2ndInning,The Oval,"Jun 6, 1977",Australia,England,Home,Away,First,Second,277,271,548
41,ODI # 45,Pakistan,England,Winner2ndInning,Sahiwal,"Dec 23, 1977",England,Pakistan,Home,Away,First,Second,176,221,397
42,ODI # 46,Pakistan,England,Winner2ndInning,Sialkot,"Dec 30, 1977",England,Pakistan,Home,Away,First,Second,232,230,462
43,ODI # 47,Pakistan,England,Winner1stInning,Lahore,"Jan 13, 1978",Pakistan,Pakistan,Home,Away,First,Second,239,213,452
44,ODI # 48,West Indies,Australia,Winner1stInning,St John's,"Feb 22, 1978",West Indies,West Indies,Home,Away,First,Second,204,218,422
45,ODI # 49,West Indies,Australia,Winner2ndInning,Castries,"Apr 12, 1978",Australia,West Indies,Home,Away,First,Second,255,267,522
46,ODI # 50,England,Pakistan,Winner1stInning,Manchester,"May 24-25, 1978",England,England,Home,Away,First,Second,225,218,443
47,ODI # 51,England,Pakistan,Winner1stInning,The Oval,"May 26, 1978",England,England,Home,Away,First,Second,249,229,478
48,ODI # 52,England,New Zealand,Winner1stInning,Scarborough,"Jul 15, 1978",England,England,Home,Away,First,Second,227,233,460
49,ODI # 53,England,New Zealand,Winner1stInning,Manchester,"Jul 17, 1978",England,England,Home,Away,First,Second,213,208,421
50,ODI # 54,Pakistan,India,Winner1stInning,Quetta,"Oct 1, 1978",India,Pakistan,Home,Away,Second,First,266,289,555
51,ODI # 55,Pakistan,India,Winner2ndInning,Sialkot,"Oct 13, 1978",Pakistan,Pakistan,Home,Away,Second,First,227,214,441
53,ODI # 58,Australia,England,Winner2ndInning,Melbourne,"Jan 24, 1979",England,Australia,Home,Away,First,Second,176,234,410
54,ODI # 59,Australia,England,Winner2ndInning,Melbourne,"Feb 4, 1979",Australia,Australia,Home,Away,Second,First,263,187,450
55,ODI # 60,Australia,England,Winner2ndInning,Melbourne,"Feb 7, 1979",Australia,Australia,Home,Away,Second,First,271,184,455
56,ODI # 61,India,West Indies,Winner2ndInning,Birmingham,"Jun 9, 1979",West Indies,England,Neutral,Neutral,First,Second,157,192,349
57,ODI # 62,New Zealand,Sri Lanka,Winner2ndInning,Nottingham,"Jun 9, 1979",New Zealand,England,Neutral,Neutral,Second,First,192,289,481
58,ODI # 63,England,Australia,Winner2ndInning,Lord's,"Jun 9, 1979",England,England,Home,Away,Second,First,245,196,441
59,ODI # 64,Canada,Pakistan,Winner2ndInning,Leeds,"Jun 9, 1979",Pakistan,England,Neutral,Neutral,First,Second,177,240,417
60,ODI # 65,India,New Zealand,Winner2ndInning,Leeds,"Jun 13, 1979",New Zealand,England,Neutral,Neutral,First,Second,250,173,423
61,ODI # 66,Australia,Pakistan,Winner1stInning,Nottingham,"Jun 13-14, 1979",Pakistan,England,Neutral,Neutral,Second,First,291,164,455
62,ODI # 67,England,Canada,Winner2ndInning,Manchester,"Jun 13-14, 1979",England,England,Home,Away,Second,First,243,268,511
63,ODI # 68,India,Sri Lanka,Winner1stInning,Manchester,"Jun 16-18, 1979",Sri Lanka,England,Neutral,Neutral,Second,First,186,199,385
64,ODI # 69,New Zealand,West Indies,Winner1stInning,Nottingham,"Jun 16, 1979",West Indies,England,Neutral,Neutral,Second,First,192,151,343
65,ODI # 70,Australia,Canada,Winner2ndInning,Birmingham,"Jun 16, 1979",Australia,England,Neutral,Neutral,Second,First,294,265,559
66,ODI # 71,England,Pakistan,Winner1stInning,Leeds,"Jun 16, 1979",England,England,Home,Away,First,Second,176,178,354
67,ODI # 72,England,New Zealand,Winner1stInning,Manchester,"Jun 20, 1979",England,England,Home,Away,First,Second,298,205,503
68,ODI # 73,Pakistan,West Indies,Winner1stInning,The Oval,"Jun 20, 1979",West Indies,England,Neutral,Neutral,Second,First,260,156,416
69,ODI # 74,England,West Indies,Winner1stInning,Lord's,"Jun 23, 1979",West Indies,England,Home,Away,Second,First,269,166,435
70,ODI # 75,Australia,West Indies,Winner2ndInning,Sydney,"Nov 27, 1979",Australia,Australia,Home,Away,Second,First,183,290,473
71,ODI # 76,England,West Indies,Winner1stInning,Sydney,"Nov 28, 1979",England,Australia,Neutral,Neutral,First,Second,194,300,494
72,ODI # 77,Australia,England,Winner2ndInning,Melbourne,"Dec 8, 1979",England,Australia,Home,Away,First,Second,195,253,448
73,ODI # 78,Australia,West Indies,Winner1stInning,Melbourne,"Dec 9, 1979",West Indies,Australia,Home,Away,Second,First,274,229,503
74,ODI # 79,Australia,England,Winner1stInning,Sydney,"Dec 11, 1979",England,Australia,Home,Away,Second,First,257,168,425
75,ODI # 80,Australia,West Indies,Winner1stInning,Sydney,"Dec 21, 1979",Australia,Australia,Home,Away,First,Second,224,257,481
76,ODI # 81,England,West Indies,Winner2ndInning,Brisbane,"Dec 23, 1979",West Indies,Australia,Neutral,Neutral,First,Second,285,190,475
77,ODI # 82,Australia,England,Winner2ndInning,Sydney,"Dec 26, 1979",England,Australia,Home,Away,First,Second,220,176,396
78,ODI # 83,Australia,England,Winner2ndInning,Sydney,"Jan 14, 1980",England,Australia,Home,Away,First,Second,218,267,485
79,ODI # 84,England,West Indies,Winner1stInning,Adelaide,"Jan 16, 1980",West Indies,Australia,Neutral,Neutral,Second,First,207,191,398
80,ODI # 85,Australia,West Indies,Winner1stInning,Sydney,"Jan 18, 1980",Australia,Australia,Home,Away,First,Second,156,259,415
81,ODI # 86,England,West Indies,Winner1stInning,Melbourne,"Jan 20, 1980",West Indies,Australia,Neutral,Neutral,Second,First,279,173,452
82,ODI # 87,England,West Indies,Winner2ndInning,Sydney,"Jan 22, 1980",West Indies,Australia,Neutral,Neutral,First,Second,225,243,468
83,ODI # 88,New Zealand,West Indies,Winner2ndInning,Christchurch,"Feb 6, 1980",New Zealand,New Zealand,Home,Away,Second,First,277,192,469
84,ODI # 89,England,West Indies,Winner1stInning,Leeds,"May 28-29, 1980",West Indies,England,Home,Away,Second,First,150,243,393
85,ODI # 90,England,West Indies,Winner2ndInning,Lord's,"May 30, 1980",England,England,Home,Away,Second,First,156,299,455
86,ODI # 91,England,Australia,Winner1stInning,The Oval,"Aug 20, 1980",England,England,Home,Away,First,Second,268,212,480
87,ODI # 92,England,Australia,Winner1stInning,Birmingham,"Aug 22, 1980",England,England,Home,Away,First,Second,162,209,371
88,ODI # 93,Pakistan,West Indies,Winner2ndInning,Karachi,"Nov 21, 1980",West Indies,Pakistan,Home,Away,First,Second,210,300,510
89,ODI # 94,Australia,New Zealand,Winner2ndInning,Adelaide,"Nov 23, 1980",New Zealand,Australia,Home,Away,First,Second,221,277,498
90,ODI # 95,Australia,New Zealand,Winner1stInning,Sydney,"Nov 25, 1980",Australia,Australia,Home,Away,First,Second,241,254,495
91,ODI # 96,Pakistan,West Indies,Winner2ndInning,Sialkot,"Dec 5, 1980",West Indies,Pakistan,Home,Away,First,Second,244,181,425
92,ODI # 97,Australia,India,Winner1stInning,Melbourne,"Dec 6, 1980",India,Australia,Home,Away,Second,First,155,179,334
93,ODI # 98,Australia,New Zealand,Winner2ndInning,Melbourne,"Dec 7, 1980",Australia,Australia,Home,Away,Second,First,294,248,542
94,ODI # 99,India,New Zealand,Winner1stInning,Perth,"Dec 9, 1980",India,Australia,Neutral,Neutral,First,Second,225,257,482
95,ODI # 100,Australia,India,Winner2ndInning,Sydney,"Dec 18, 1980",Australia,Australia,Home,Away,Second,First,267,201,468
96,ODI # 101,Pakistan,West Indies,Winner1stInning,Lahore,"Dec 19, 1980",West Indies,Pakistan,Home,Away,Second,First,290,254,544
97,ODI # 102,India,New Zealand,Winner2ndInning,Brisbane,"Dec 21, 1980",New Zealand,Australia,Neutral,Neutral,First,Second,189,171,360
98,ODI # 103,India,New Zealand,Winner1stInning,Adelaide,"Dec 23, 1980",India,Australia,Neutral,Neutral,First,Second,192,249,441
99,ODI # 104,Australia,India,Winner2ndInning,Sydney,"Jan 8, 1981",Australia,Australia,Home,Away,Second,First,152,296,448
100,ODI # 105,India,New Zealand,Winner2ndInning,Melbourne,"Jan 10, 1981",New Zealand,Australia,Neutral,Neutral,First,Second,231,276,507
101,ODI # 106,Australia,India,Winner2ndInning,Melbourne,"Jan 11, 1981",Australia,Australia,Home,Away,Second,First,259,266,525
102,ODI # 107,Australia,New Zealand,Winner1stInning,Sydney,"Jan 13, 1981",New Zealand,Australia,Home,Away,Second,First,203,199,402
103,ODI # 108,Australia,India,Winner1stInning,Sydney,"Jan 15, 1981",Australia,Australia,Home,Away,First,Second,202,214,416
104,ODI # 109,India,New Zealand,Winner1stInning,Brisbane,"Jan 18, 1981",New Zealand,Australia,Neutral,Neutral,Second,First,262,198,460
105,ODI # 111,Australia,New Zealand,Winner1stInning,Sydney,"Jan 29, 1981",New Zealand,Australia,Home,Away,Second,First,154,277,431
106,ODI # 112,Australia,New Zealand,Winner2ndInning,Melbourne,"Jan 31, 1981",Australia,Australia,Home,Away,Second,First,294,217,511
107,ODI # 113,Australia,New Zealand,Winner1stInning,Melbourne,"Feb 1, 1981",Australia,Australia,Home,Away,First,Second,174,170,344
108,ODI # 114,Australia,New Zealand,Winner2ndInning,Sydney,"Feb 3, 1981",Australia,Australia,Home,Away,Second,First,300,180,480
109,ODI # 115,West Indies,England,Winner1stInning,Kingstown,"Feb 4, 1981",West Indies,West Indies,Home,Away,First,Second,163,247,410
110,ODI # 116,New Zealand,India,Winner1stInning,Auckland,"Feb 14, 1981",New Zealand,New Zealand,Home,Away,First,Second,297,290,587
111,ODI # 117,New Zealand,India,Winner1stInning,Hamilton,"Feb 15, 1981",New Zealand,New Zealand,Home,Away,First,Second,289,230,519
112,ODI # 118,West Indies,England,Winner2ndInning,Albion,"Feb 26, 1981",West Indies,West Indies,Home,Away,Second,First,275,193,468
113,ODI # 119,England,Australia,Winner2ndInning,Lord's,"Jun 4, 1981",England,England,Home,Away,Second,First,172,247,419
114,ODI # 120,England,Australia,Winner1stInning,Birmingham,"Jun 6, 1981",Australia,England,Home,Away,Second,First,156,222,378
115,ODI # 121,England,Australia,Winner1stInning,Leeds,"Jun 8, 1981",Australia,England,Home,Away,Second,First,197,257,454
116,ODI # 122,Pakistan,West Indies,Winner1stInning,Melbourne,"Nov 21, 1981",West Indies,Australia,Neutral,Neutral,Second,First,227,267,494
117,ODI # 123,Australia,Pakistan,Winner2ndInning,Melbourne,"Nov 22, 1981",Pakistan,Australia,Home,Away,First,Second,262,247,509
118,ODI # 124,Australia,West Indies,Winner2ndInning,Sydney,"Nov 24, 1981",Australia,Australia,Home,Away,Second,First,255,250,505
119,ODI # 125,India,England,Winner2ndInning,Ahmedabad,"Nov 25, 1981",England,India,Home,Away,First,Second,150,268,418
120,ODI # 126,Pakistan,West Indies,Winner1stInning,Adelaide,"Dec 5, 1981",Pakistan,Australia,Neutral,Neutral,First,Second,295,153,448
121,ODI # 127,Australia,Pakistan,Winner1stInning,Adelaide,"Dec 6, 1981",Australia,Australia,Home,Away,First,Second,209,176,385
122,ODI # 128,Australia,Pakistan,Winner2ndInning,Sydney,"Dec 17, 1981",Pakistan,Australia,Home,Away,First,Second,242,154,396
123,ODI # 129,Pakistan,West Indies,Winner2ndInning,Perth,"Dec 19, 1981",West Indies,Australia,Neutral,Neutral,First,Second,221,193,414
124,ODI # 130,Australia,West Indies,Winner2ndInning,Perth,"Dec 20, 1981",West Indies,Australia,Home,Away,First,Second,219,186,405
125,ODI # 131,India,England,Winner2ndInning,Jalandhar,"Dec 20, 1981",India,India,Home,Away,Second,First,177,220,397
126,ODI # 132,Australia,Pakistan,Winner1stInning,Melbourne,"Jan 9, 1982",Pakistan,Australia,Home,Away,Second,First,184,185,369
127,ODI # 133,Australia,West Indies,Winner2ndInning,Melbourne,"Jan 10, 1982",West Indies,Australia,Home,Away,First,Second,237,179,416
128,ODI # 134,Pakistan,West Indies,Winner2ndInning,Sydney,"Jan 12, 1982",West Indies,Australia,Neutral,Neutral,First,Second,269,171,440
129,ODI # 135,Australia,Pakistan,Winner1stInning,Sydney,"Jan 14, 1982",Australia,Australia,Home,Away,First,Second,221,240,461
130,ODI # 136,Pakistan,West Indies,Winner2ndInning,Brisbane,"Jan 16, 1982",West Indies,Australia,Neutral,Neutral,First,Second,177,280,457
131,ODI # 137,Australia,West Indies,Winner2ndInning,Brisbane,"Jan 17, 1982",West Indies,Australia,Home,Away,First,Second,156,233,389
132,ODI # 138,Australia,West Indies,Winner1stInning,Sydney,"Jan 19, 1982",Australia,Australia,Home,Away,First,Second,186,250,436
133,ODI # 139,Australia,West Indies,Winner1stInning,Melbourne,"Jan 23, 1982",West Indies,Australia,Home,Away,Second,First,260,221,481
134,ODI # 140,Australia,West Indies,Winner1stInning,Melbourne,"Jan 24, 1982",West Indies,Australia,Home,Away,Second,First,253,220,473
135,ODI # 141,Australia,West Indies,Winner1stInning,Sydney,"Jan 26, 1982",Australia,Australia,Home,Away,First,Second,198,203,401
136,ODI # 142,Australia,West Indies,Winner1stInning,Sydney,"Jan 27, 1982",West Indies,Australia,Home,Away,Second,First,264,156,420
137,ODI # 143,India,England,Winner2ndInning,Cuttack,"Jan 27, 1982",India,India,Home,Away,Second,First,158,226,384
138,ODI # 144,New Zealand,Australia,Winner1stInning,Auckland,"Feb 13, 1982",New Zealand,New Zealand,Home,Away,First,Second,208,282,490
139,ODI # 145,Sri Lanka,England,Winner1stInning,Colombo,"Feb 13, 1982",England,Sri Lanka,Home,Away,Second,First,180,192,372
140,ODI # 146,Sri Lanka,England,Winner1stInning,Colombo,"Feb 14, 1982",Sri Lanka,Sri Lanka,Home,Away,First,Second,189,189,378
141,ODI # 147,New Zealand,Australia,Winner2ndInning,Dunedin,"Feb 17, 1982",Australia,New Zealand,Home,Away,First,Second,238,167,405
142,ODI # 148,New Zealand,Australia,Winner2ndInning,Wellington,"Feb 20, 1982",Australia,New Zealand,Home,Away,First,Second,247,219,466
143,ODI # 149,Pakistan,Sri Lanka,Winner2ndInning,Karachi,"Mar 12, 1982",Pakistan,Pakistan,Home,Away,Second,First,214,164,378
144,ODI # 150,Pakistan,Sri Lanka,Winner1stInning,Lahore,"Mar 29, 1982",Sri Lanka,Pakistan,Home,Away,Second,First,183,157,340
145,ODI # 151,Pakistan,Sri Lanka,Winner2ndInning,Karachi,"Mar 31, 1982",Pakistan,Pakistan,Home,Away,Second,First,289,186,475
146,ODI # 152,England,India,Winner2ndInning,Leeds,"Jun 2, 1982",England,England,Home,Away,Second,First,194,273,467
147,ODI # 153,England,India,Winner1stInning,The Oval,"Jun 4, 1982",England,England,Home,Away,First,Second,175,237,412
148,ODI # 154,England,Pakistan,Winner2ndInning,Nottingham,"Jul 17, 1982",England,England,Home,Away,Second,First,228,228,456
149,ODI # 155,England,Pakistan,Winner1stInning,Manchester,"Jul 19, 1982",England,England,Home,Away,First,Second,173,184,357
150,ODI # 156,India,Sri Lanka,Winner1stInning,Amritsar,"Sep 12, 1982",India,India,Home,Away,First,Second,157,164,321
151,ODI # 157,India,Sri Lanka,Winner2ndInning,Delhi,"Sep 15, 1982",India,India,Home,Away,Second,First,199,171,370
152,ODI # 158,Pakistan,Australia,Winner1stInning,Hyderabad,"Sep 20, 1982",Pakistan,India,Neutral,Neutral,First,Second,153,167,320
153,ODI # 159,India,Sri Lanka,Winner2ndInning,Bengaluru,"Sep 26, 1982",India,India,Home,Away,Second,First,252,278,530
154,ODI # 160,Pakistan,Australia,Winner1stInning,Lahore,"Oct 8, 1982",Pakistan,Pakistan,Home,Away,First,Second,187,200,387
155,ODI # 162,Pakistan,India,Winner1stInning,Gujranwala,"Dec 3, 1982",Pakistan,Pakistan,Home,Away,First,Second,174,163,337
156,ODI # 163,Pakistan,India,Winner1stInning,Multan,"Dec 17, 1982",Pakistan,Pakistan,Home,Away,First,Second,151,239,390
157,ODI # 164,Pakistan,India,Winner1stInning,Lahore,"Dec 31, 1982",India,Pakistan,Home,Away,Second,First,157,217,374
158,ODI # 165,Australia,New Zealand,Winner2ndInning,Melbourne,"Jan 9, 1983",Australia,Australia,Home,Away,Second,First,213,151,364
159,ODI # 166,Australia,England,Winner1stInning,Sydney,"Jan 11, 1983",Australia,Australia,Home,Away,First,Second,236,274,510
160,ODI # 167,England,New Zealand,Winner1stInning,Melbourne,"Jan 13, 1983",New Zealand,Australia,Neutral,Neutral,Second,First,256,218,474
161,ODI # 168,England,New Zealand,Winner1stInning,Brisbane,"Jan 15, 1983",England,Australia,Neutral,Neutral,First,Second,199,285,484
162,ODI # 169,Australia,England,Winner2ndInning,Brisbane,"Jan 16, 1983",Australia,Australia,Home,Away,Second,First,201,240,441
163,ODI # 170,Australia,New Zealand,Winner1stInning,Sydney,"Jan 18, 1983",New Zealand,Australia,Home,Away,Second,First,153,284,437
164,ODI # 171,England,New Zealand,Winner2ndInning,Sydney,"Jan 20, 1983",England,Australia,Neutral,Neutral,Second,First,159,165,324
165,ODI # 172,Pakistan,India,Winner2ndInning,Karachi,"Jan 21, 1983",Pakistan,Pakistan,Home,Away,Second,First,294,167,461
166,ODI # 173,Australia,New Zealand,Winner1stInning,Melbourne,"Jan 22, 1983",New Zealand,Australia,Home,Away,Second,First,240,215,455
167,ODI # 174,Australia,England,Winner2ndInning,Melbourne,"Jan 23, 1983",Australia,Australia,Home,Away,Second,First,209,229,438
168,ODI # 175,Australia,England,Winner1stInning,Sydney,"Jan 26, 1983",England,Australia,Home,Away,Second,First,235,218,453
169,ODI # 176,England,New Zealand,Winner2ndInning,Adelaide,"Jan 29, 1983",New Zealand,Australia,Neutral,Neutral,First,Second,160,267,427
170,ODI # 177,Australia,England,Winner1stInning,Adelaide,"Jan 30, 1983",England,Australia,Home,Away,Second,First,240,197,437
171,ODI # 178,Australia,New Zealand,Winner1stInning,Adelaide,"Jan 31, 1983",New Zealand,Australia,Home,Away,Second,First,225,281,506
172,ODI # 179,England,New Zealand,Winner2ndInning,Perth,"Feb 5, 1983",New Zealand,Australia,Neutral,Neutral,First,Second,282,159,441
173,ODI # 180,Australia,New Zealand,Winner1stInning,Perth,"Feb 6, 1983",Australia,Australia,Home,Away,First,Second,297,295,592
174,ODI # 181,Australia,New Zealand,Winner2ndInning,Sydney,"Feb 9, 1983",Australia,Australia,Home,Away,Second,First,261,255,516
175,ODI # 182,Australia,New Zealand,Winner1stInning,Melbourne,"Feb 13, 1983",Australia,Australia,Home,Away,First,Second,279,259,538
176,ODI # 183,New Zealand,England,Winner2ndInning,Auckland,"Feb 19, 1983",New Zealand,New Zealand,Home,Away,Second,First,201,249,450
177,ODI # 184,New Zealand,England,Winner1stInning,Wellington,"Feb 23, 1983",New Zealand,New Zealand,Home,Away,First,Second,163,292,455
178,ODI # 185,New Zealand,England,Winner1stInning,Christchurch,"Feb 26, 1983",New Zealand,New Zealand,Home,Away,First,Second,280,179,459
179,ODI # 186,New Zealand,Sri Lanka,Winner1stInning,Dunedin,"Mar 2, 1983",New Zealand,New Zealand,Home,Away,First,Second,186,234,420
180,ODI # 187,West Indies,India,Winner1stInning,Port of Spain,"Mar 9, 1983",West Indies,West Indies,Home,Away,First,Second,300,257,557
181,ODI # 188,Australia,New Zealand,Winner1stInning,Sydney,"Mar 17, 1983",New Zealand,Australia,Home,Away,Second,First,283,272,555
182,ODI # 189,New Zealand,Sri Lanka,Winner2ndInning,Napier,"Mar 19, 1983",New Zealand,New Zealand,Home,Away,Second,First,161,216,377
183,ODI # 190,New Zealand,Sri Lanka,Winner1stInning,Auckland,"Mar 20, 1983",New Zealand,New Zealand,Home,Away,First,Second,276,230,506
184,ODI # 191,West Indies,India,Winner1stInning,Albion,"Mar 29, 1983",India,West Indies,Home,Away,Second,First,221,277,498
185,ODI # 192,West Indies,India,Winner2ndInning,St George's,"Apr 7, 1983",West Indies,West Indies,Home,Away,Second,First,256,300,556
186,ODI # 193,Sri Lanka,Australia,Winner2ndInning,Colombo,"Apr 13, 1983",Sri Lanka,Sri Lanka,Home,Away,Second,First,261,269,530
187,ODI # 194,Sri Lanka,Australia,Winner2ndInning,Colombo,"Apr 16, 1983",Sri Lanka,Sri Lanka,Home,Away,Second,First,212,262,474
188,ODI # 197,England,New Zealand,Winner1stInning,The Oval,"Jun 9, 1983",England,England,Home,Away,First,Second,264,292,556
189,ODI # 198,Pakistan,Sri Lanka,Winner1stInning,Swansea,"Jun 9, 1983",Pakistan,England,Neutral,Neutral,First,Second,183,181,364
190,ODI # 199,Australia,Zimbabwe,Winner1stInning,Nottingham,"Jun 9, 1983",Zimbabwe,England,Neutral,Neutral,Second,First,196,195,391
191,ODI # 200,India,West Indies,Winner1stInning,Manchester,"Jun 9-10, 1983",India,England,Neutral,Neutral,First,Second,175,165,340
192,ODI # 201,England,Sri Lanka,Winner1stInning,Taunton,"Jun 11, 1983",England,England,Home,Away,First,Second,260,268,528
193,ODI # 202,New Zealand,Pakistan,Winner1stInning,Birmingham,"Jun 11-12, 1983",New Zealand,England,Neutral,Neutral,First,Second,213,252,465
194,ODI # 203,Australia,West Indies,Winner1stInning,Leeds,"Jun 11-12, 1983",West Indies,England,Neutral,Neutral,Second,First,239,206,445
195,ODI # 204,India,Zimbabwe,Winner2ndInning,Leicester,"Jun 11, 1983",India,England,Neutral,Neutral,Second,First,276,210,486
196,ODI # 205,England,Pakistan,Winner2ndInning,Lord's,"Jun 13, 1983",England,England,Home,Away,Second,First,266,191,457
197,ODI # 206,New Zealand,Sri Lanka,Winner2ndInning,Bristol,"Jun 13, 1983",New Zealand,England,Neutral,Neutral,Second,First,172,209,381
198,ODI # 207,Australia,India,Winner1stInning,Nottingham,"Jun 13, 1983",Australia,England,Neutral,Neutral,First,Second,255,298,553
199,ODI # 208,West Indies,Zimbabwe,Winner2ndInning,Worcester,"Jun 13, 1983",West Indies,England,Neutral,Neutral,Second,First,290,192,482
200,ODI # 209,England,New Zealand,Winner2ndInning,Birmingham,"Jun 15, 1983",New Zealand,England,Home,Away,First,Second,222,292,514
201,ODI # 210,India,West Indies,Winner1stInning,The Oval,"Jun 15, 1983",West Indies,England,Neutral,Neutral,Second,First,278,280,558
